action,amendmentIndicator,assetClass,blockTradeIndicator,cleared,customBasketIndicator,deliveryType,disseminationIdentifier,disseminationTimestamp,effectiveDate,embeddedOptionType,event,eventDateTime,executionDateTime,expirationDate,firstExerciseDate,instrumentType,leg1CallAmount,leg1CallCurrency,leg1EffectiveNotionalAmount,leg1FixedRateDayCount,leg1FloatingRateDayCount,leg1NotionalAmount,leg1NotionalCurrency,leg1NotionalEffectiveDate,leg1NotionalEndDate,leg1NotionalScheduleType,leg1PutAmount,leg1PutCurrency,leg1ResetFrequencyMultiplier,leg1SettlementCurrency,leg1SettlementLocation,leg1UnderlyingAssetOrContractType,leg2CallAmount,leg2CallCurrency,leg2EffectiveNotionalAmount,leg2FixedRateDayCount,leg2FloatingRateDayCount,leg2NotionalAmount,leg2NotionalCurrency,leg2NotionalEffectiveDate,leg2NotionalEndDate,leg2NotionalScheduleType,leg2PutAmount,leg2PutCurrency,leg2ResetFrequencyMultiplier,leg2SettlementCurrency,leg2SettlementLocation,leg2UnderlyingAssetOrContractType,nonStandardTermIndicator,optionExerciseFrequencyMultiplier,optionExerciseFrequencyPeriod,optionPremiumAmount,optionPremiumCurrency,optionStrikePrice,optionStrikePriceCurrency,optionStrikePriceNotation,optionStyle,optionType,originalDisseminationIdentifier,otherPaymentAmount,otherPaymentCurrency,otherPaymentType,packageIndicator,packageTransactionPrice,packageTransactionPriceCurrency,packageTransactionPriceNotation,packageTransactionSpread,packageTransactionSpreadCurrency,packageTransactionSpreadNotation,platformID,postPricedSwapIndicator,primeBrokerageTransactionIndicator,productCode,productCodeType,productName,returnTriggerType,sDRreceiptTimestamp,underlierExpirationDate,futureValueNotional,leg1FixedRate,leg1FixedRatePaymentFrequencyMultiplier,leg1FixedRatePaymentFrequencyPeriod,leg1FloatingRatePaymentFrequencyMultiplier,leg1FloatingRatePaymentFrequencyPeriod,leg1Spread,leg1SpreadCurrency,leg1SpreadNotation,leg1UnderlierCurrency,leg1UnderlierID,leg1UnderlierIDSource,leg1UnderlierTenorMultiplier,leg1UnderlierTenorPeriod,leg2FixedRatePaymentFrequencyMultiplier,leg2FixedRatePaymentFrequencyPeriod,leg2FloatingRatePaymentFrequencyMultiplier,leg2FloatingRatePaymentFrequencyPeriod,leg2Spread,leg2SpreadCurrency,leg2SpreadNotation,leg2UnderlierCurrency,leg2UnderlierID,leg2UnderlierIDSource,leg2UnderlierTenorMultiplier,leg2UnderlierTenorPeriod,multiCurrencyIndicator,leg1ResetFrequencyPeriod,leg2ResetFrequencyPeriod,optionExerciseEndDate,leg2FixedRate
NEWT,,IR,,Y,FALSE,CASH,SDRIR78748100,2023-02-02T10:14:20Z,2023-03-22,,TRAD,2023-02-01T14:37:41Z,2023-02-01T14:37:41Z,2023-05-03,,Swap,,,,A004,A004,1000000000,USD,,,Constant,,,,USD,,OIS,,,,,A004,1000000000,USD,,,Constant,,,1,USD,,,,,,,,,,,,,,,,,FALSE,,,,,,,,FALSE,,,,OIS USD broken,,2023-02-02T10:14:20Z,,,0.04799,1,DAIL,,,,,,,,,,,,,1,DAIL,,,,USD,USD-Federal Funds-H.15-OIS-COMPOUND,COMPOUND,2,MNTH,,,DAIL,,
NEWT,,IR,,Y,FALSE,CASH,SDRIR78748101,2023-02-02T10:14:20Z,2023-02-03,,TRAD,2023-02-01T21:30:36Z,2023-02-01T21:30:36Z,2024-02-03,,Swap,,,,A004,A004,39000000,USD,,,Constant,,,,USD,,OIS,,,,,A004,39000000,USD,,,Constant,,,1,USD,,,,,,,,,,,,,,,,,FALSE,,,,,,,,FALSE,,,,OIS USD 1y,,2023-02-02T10:14:20Z,,,0.048067,1,YEAR,,,,,,,,,,,,,1,YEAR,,,,USD,USD-Federal Funds-H.15-OIS-COMPOUND,COMPOUND,1,YEAR,,,YEAR,,
NEWT,,IR,,Y,FALSE,CASH,SDRIR78757051,2023-02-03T09:49:20Z,2023-02-02,,TRAD,2023-02-02T14:06:20Z,2023-02-02T14:06:20Z,2023-03-23,,Swap,,,,A005,A005,280000000,GBP,,,Constant,,,,GBP,,OIS,,,,,A005,280000000,GBP,,,Constant,,,1,GBP,,,,,,,,,,,,,,,,,FALSE,,,,,,,,FALSE,,,,OIS GBP broken,,2023-02-03T09:49:20Z,,,0.03883,1,DAIL,,,,,,,,,,,,,1,DAIL,,,,GBP,GBP-SONIA-OIS Compound,OIS Compound,1,MNTH,,,DAIL,,
NEWT,,IR,,Y,FALSE,CASH,SDRIR78757053,2023-02-03T09:49:20Z,2023-02-02,,TRAD,2023-02-02T14:06:20Z,2023-02-02T14:06:20Z,2023-03-23,,Swap,,,,A005,A005,390000000,GBP,,,Constant,,,,GBP,,OIS,,,,,A005,390000000,GBP,,,Constant,,,1,GBP,,,,,,,,,,,,,,,,,FALSE,,,,,,,,FALSE,,,,OIS GBP broken,,2023-02-03T09:49:20Z,,,0.03883,1,DAIL,,,,,,,,,,,,,1,DAIL,,,,GBP,GBP-SONIA-OIS Compound,OIS Compound,1,MNTH,,,DAIL,,
NEWT,,IR,,Y,FALSE,CASH,SDRIR78757052,2023-02-03T09:49:20Z,2023-02-02,,TRAD,2023-02-02T14:06:20Z,2023-02-02T14:06:20Z,2023-03-23,,Swap,,,,A005,A005,84000000,GBP,,,Constant,,,,GBP,,OIS,,,,,A005,84000000,GBP,,,Constant,,,1,GBP,,,,,,,,,,,,,,,,,FALSE,,,,,,,,FALSE,,,,OIS GBP broken,,2023-02-03T09:49:20Z,,,0.03883,1,DAIL,,,,,,,,,,,,,1,DAIL,,,,GBP,GBP-SONIA-OIS Compound,OIS Compound,1,MNTH,,,DAIL,,
CORR,,IR,,N,FALSE,CASH,SDRIR79303976,2023-03-21T11:25:32Z,2023-02-02,,,2023-01-03T15:56:58Z,2023-01-03T15:56:58Z,2023-03-23,,Swap,,,,A005,A005,2000000000,GBP,,,Constant,,,,GBP,,OIS,,,,,A005,2000000000,GBP,,,Constant,,,1,GBP,,,FALSE,,,,,,,,,,SDRIR78790657,,,,FALSE,,,,,,,XXXX,FALSE,FALSE,,,OIS GBP broken,,2023-03-21T11:25:32Z,,,0.03876,1,DAIL,,,,,,,,,,,,,1,DAIL,,,,GBP,GBP-SONIA-OIS Compound,OIS Compound,1,MNTH,,,DAIL,,
CORR,,IR,,N,FALSE,CASH,SDRIR79303977,2023-03-21T11:25:32Z,2023-02-02,,,2023-01-03T15:56:58Z,2023-01-03T15:56:58Z,2023-03-23,,Swap,,,,A005,A005,2000000000,GBP,,,Constant,,,,GBP,,OIS,,,,,A005,2000000000,GBP,,,Constant,,,1,GBP,,,FALSE,,,,,,,,,,SDRIR78790658,,,,FALSE,,,,,,,XXXX,FALSE,FALSE,,,OIS GBP broken,,2023-03-21T11:25:32Z,,,0.03876,1,DAIL,,,,,,,,,,,,,1,DAIL,,,,GBP,GBP-SONIA-OIS Compound,OIS Compound,1,MNTH,,,DAIL,,
CORR,,IR,,N,FALSE,CASH,SDRIR79304030,2023-03-21T11:25:33Z,2025-01-13,,,2023-01-11T10:38:48Z,2023-01-11T10:38:48Z,2026-01-13,,Swap,,,,A005,A005,550000000,GBP,,,Constant,,,,GBP,,OIS,,,,,A005,550000000,GBP,,,Constant,,,1,GBP,,,FALSE,,,,,,,,,,SDRIR78790234,,,,FALSE,,,,,,,XXXX,FALSE,FALSE,,,OIS GBP 1y,,2023-03-21T11:25:33Z,,,0.03593,1,YEAR,,,,,,,,,,,,,1,YEAR,,,,GBP,GBP-SONIA-OIS Compound,OIS Compound,1,YEAR,,,YEAR,,
CORR,,IR,FALSE,N,FALSE,CASH,SDRIR79304032,2023-03-21T11:25:33Z,2023-01-11,,,2023-01-11T13:45:16Z,2023-01-11T13:45:16Z,2025-01-11,,Swap,,,,A005,A005,66000000,GBP,,,Constant,,,,GBP,,OIS,,,,,A005,66000000,GBP,,,Constant,,,1,GBP,,,FALSE,,,,,,,,,,SDRIR78790522,,,,FALSE,,,,,,,TWSF,FALSE,FALSE,,,OIS GBP 2y,,2023-03-21T11:25:33Z,,,0.04162,1,YEAR,,,,,,,,,,,,,1,YEAR,,,,GBP,GBP-SONIA-OIS Compound,OIS Compound,2,YEAR,,,YEAR,,
CORR,,IR,,N,FALSE,CASH,SDRIR79304033,2023-03-21T11:25:33Z,2023-06-21,,,2023-01-11T13:43:36Z,2023-01-11T13:43:36Z,2043-06-21,,Swap,,,,A001,A001,9000000,EUR,,,Constant,,,,EUR,,Fixed-Floating,,,,,A004,9000000,EUR,,,Constant,,,3,EUR,,,FALSE,,,,,,,,,,SDRIR78790523,,,,FALSE,,,,,,,XXXX,FALSE,FALSE,,,IRS EUR 20Y,,2023-03-21T11:25:33Z,,,0.026765,1,YEAR,,,,,,,,,,,,,3,MNTH,,,,EUR,EUR-EURIBOR,EURIBOR,20,YEAR,,,MNTH,,
CORR,,IR,,N,FALSE,CASH,SDRIR79304034,2023-03-21T11:25:34Z,2023-06-21,,,2023-01-11T13:43:36Z,2023-01-11T13:43:36Z,2043-06-21,,Swap,,,,A001,A001,9000000,EUR,,,Constant,,,,EUR,,Fixed-Floating,,,,,A004,9000000,EUR,,,Constant,,,6,EUR,,,FALSE,,,,,,,,,,SDRIR78790524,,,,FALSE,,,,,,,XXXX,FALSE,FALSE,,,IRS EUR 20Y,,2023-03-21T11:25:34Z,,,0.02602,1,YEAR,,,,,,,,,,,,,6,MNTH,,,,EUR,EUR-EURIBOR,EURIBOR,20,YEAR,,,MNTH,,
CORR,,IR,FALSE,N,FALSE,CASH,SDRIR79304035,2023-03-21T11:25:34Z,2024-01-16,,,2023-01-11T14:09:35Z,2023-01-11T14:09:35Z,2025-01-16,,Swap,,,,A004,A004,220000000,USD,,,Constant,,,,USD,,OIS,,,,,A004,220000000,USD,,,Constant,,,1,USD,,,FALSE,,,,,,,,,,SDRIR78790525,,,,FALSE,,,,,,,TWSF,FALSE,FALSE,,,OIS USD 1y,,2023-03-21T11:25:34Z,,,0.036398,1,YEAR,,,,,,,,,,,,,1,YEAR,,,,USD,USD-SOFR-OIS Compound,OIS Compound,1,YEAR,,,YEAR,,
CORR,,IR,,N,FALSE,CASH,SDRIR79304036,2023-03-21T11:25:34Z,2023-02-08,,,2023-01-11T14:23:31Z,2023-01-11T14:23:31Z,2023-03-22,,Swap,,,,A004,A004,800000000,EUR,,,Constant,,,,EUR,,OIS,,,,,A004,800000000,EUR,,,Constant,,,1,EUR,,,FALSE,,,,,,,,,,SDRIR78790526,,,,FALSE,,,,,,,XXXX,FALSE,FALSE,,,OIS EUR broken,,2023-03-21T11:25:34Z,,,0.02394,1,DAIL,,,,,,,,,,,,,1,DAIL,,,,EUR,EUR-EuroSTR-OIS Compound,OIS Compound,1,MNTH,,,DAIL,,
CORR,,IR,,N,FALSE,CASH,SDRIR79304037,2023-03-21T11:25:34Z,2023-03-22,,,2023-01-11T14:23:31Z,2023-01-11T14:23:31Z,2023-05-10,,Swap,,,,A004,A004,700000000,EUR,,,Constant,,,,EUR,,OIS,,,,,A004,700000000,EUR,,,Constant,,,1,EUR,,,FALSE,,,,,,,,,,SDRIR78790527,,,,FALSE,,,,,,,XXXX,FALSE,FALSE,,,OIS EUR broken,,2023-03-21T11:25:34Z,,,0.02829,1,DAIL,,,,,,,,,,,,,1,DAIL,,,,EUR,EUR-EuroSTR-OIS Compound,OIS Compound,2,MNTH,,,DAIL,,
CORR,,IR,,N,FALSE,CASH,SDRIR79304038,2023-03-21T11:25:34Z,2023-09-20,,,2023-01-11T13:33:51Z,2023-01-11T13:33:51Z,2023-11-01,,Swap,,,,A004,A004,2000000000,USD,,,Constant,,,,USD,,OIS,,,,,A004,2000000000,USD,,,Constant,,,1,USD,,,FALSE,,,,,,,,,,SDRIR78790236,,,,FALSE,,,,,,,XXXX,FALSE,FALSE,,,OIS USD broken,,2023-03-21T11:25:34Z,,,0.04784,1,DAIL,,,,,,,,,,,,,1,DAIL,,,,USD,USD-Federal Funds-H.15-OIS-COMPOUND,COMPOUND,2,MNTH,,,DAIL,,
CORR,,IR,,N,FALSE,CASH,SDRIR79304039,2023-03-21T11:25:34Z,2023-06-14,,,2023-01-11T13:33:51Z,2023-01-11T13:33:51Z,2023-07-26,,Swap,,,,A004,A004,2000000000,USD,,,Constant,,,,USD,,OIS,,,,,A004,2000000000,USD,,,Constant,,,1,USD,,,FALSE,,,,,,,,,,SDRIR78790237,,,,FALSE,,,,,,,XXXX,FALSE,FALSE,,,OIS USD broken,,2023-03-21T11:25:34Z,,,0.04945,1,DAIL,,,,,,,,,,,,,1,DAIL,,,,USD,USD-Federal Funds-H.15-OIS-COMPOUND,COMPOUND,1,MNTH,,,DAIL,,
