action,amendmentIndicator,assetClass,cleared,customBasketIndicator,deliveryType,effectiveDate,event,eventDateTime,executionDateTime,expirationDate,instrumentType,leg1FixedRateDayCount,leg1NotionalAmount,leg1NotionalCurrency,leg1NotionalScheduleType,leg1SettlementCurrency,leg1UnderlyingAssetOrContractType,leg2FloatingRateDayCount,leg2NotionalAmount,leg2NotionalCurrency,leg2NotionalScheduleType,leg2ResetFrequencyMultiplier,leg2SettlementCurrency,otherPaymentCurrency,otherPaymentType,packageIndicator,postPricedSwapIndicator,productName,leg1FixedRate,leg1FixedRatePaymentFrequencyMultiplier,leg1FixedRatePaymentFrequencyPeriod,leg2FloatingRatePaymentFrequencyMultiplier,leg2FloatingRatePaymentFrequencyPeriod,leg2UnderlierCurrency,leg2UnderlierID,leg2UnderlierIDSource,leg2UnderlierTenorMultiplier,leg2UnderlierTenorPeriod,multiCurrencyIndicator,leg2ResetFrequencyPeriod
NEWT,FALSE,IR,Y,FALSE,CASH,21-Dec-22,TRAD,2022-12-20 17:54,2022-12-20 17:54,21-Dec-32,Swap,A001,13000000,USD,Constant,USD,Fixed-Floating,A004,13000000,USD,Constant,3,USD,USD,UFRO,FALSE,FALSE,USD3L,0.0275,6,MNTH,3,MNTH,USD,USD-LIBOR-BBA,FPML,3,MNTH,FALSE,MNTH
NEWT,FALSE,IR,Y,FALSE,CASH,21-Dec-22,TRAD,2022-12-20 17:54,2022-12-20 17:54,21-Dec-27,Swap,A001,83000000,USD,Constant,USD,Fixed-Floating,A004,83000000,USD,Constant,3,USD,USD,UFRO,FALSE,FALSE,USD3L,0.03,6,MNTH,3,MNTH,USD,USD-LIBOR-BBA,FPML,3,MNTH,FALSE,MNTH
NEWT,FALSE,IR,Y,FALSE,CASH,21-Dec-22,TRAD,2022-12-20 17:54,2022-12-20 17:54,21-Dec-27,Swap,A001,16000000,USD,Constant,USD,Fixed-Floating,A004,16000000,USD,Constant,3,USD,USD,UFRO,FALSE,FALSE,USD3L,0.03,6,MNTH,3,MNTH,USD,USD-LIBOR-BBA,FPML,3,MNTH,FALSE,MNTH
NEWT,FALSE,IR,Y,FALSE,CASH,21-Dec-22,TRAD,2022-12-20 17:54,2022-12-20 17:54,21-Dec-32,Swap,A001,13000000,USD,Constant,USD,Fixed-Floating,A004,13000000,USD,Constant,3,USD,USD,UFRO,FALSE,FALSE,USD3L,0.0275,6,MNTH,3,MNTH,USD,USD-LIBOR-BBA,FPML,3,MNTH,FALSE,MNTH
NEWT,FALSE,IR,Y,FALSE,CASH,21-Dec-22,TRAD,2022-12-20 17:54,2022-12-20 17:54,21-Dec-32,Swap,A001,100000,USD,Constant,USD,Fixed-Floating,A004,100000,USD,Constant,3,USD,USD,UFRO,FALSE,FALSE,USD3L,0.0275,6,MNTH,3,MNTH,USD,USD-LIBOR-BBA,FPML,3,MNTH,FALSE,MNTH
NEWT,FALSE,IR,Y,FALSE,CASH,21-Dec-22,TRAD,2022-12-20 17:54,2022-12-20 17:54,21-Dec-27,Swap,A001,98000000,USD,Constant,USD,Fixed-Floating,A004,98000000,USD,Constant,3,USD,USD,UFRO,FALSE,FALSE,USD3L,0.03,6,MNTH,3,MNTH,USD,USD-LIBOR-BBA,FPML,3,MNTH,FALSE,MNTH
NEWT,,IR,Y,FALSE,CASH,2023-12-20,TRAD,2023-01-30T09:25:54Z,2023-01-30T09:25:54Z,2027-12-20,Swap,A005,6000000,ZAR,Constant,ZAR,Fixed-Floating,A005,6000000,ZAR,Constant,3,ZAR,,,FALSE,FALSE,IRS ZAR 4Y,0.07685,3,MNTH,3,MNTH,ZAR,ZAR-JIBAR,JIBAR,4,YEAR,,MNTH
